USP | 手枪 | 兔美美 | 传说 | 提升武器射程(橙)、腰射子弹扩散减小(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
USP | 手枪 | 糖果屋 | 传说 | 减少腰射子弹扩散(橙)、武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
USP | 手枪 | 荣耀 | 史诗 | 切枪速度加快(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
USP | 手枪 | 樱花 | 史诗 | 射速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
USP | 手枪 | 巡游者 | 史诗 | 武器射程提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
USP | 手枪 | 调查局 | 稀有 | 载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
USP | 手枪 | 橙子 | 稀有 | 载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
USP | 手枪 | USP（基础款） | 普通 | 无属性加成
沙漠之鹰 | 手枪 | 深海主宰 | 传说 | 提高武器射速(橙)、武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
沙漠之鹰 | 手枪 | 凤凰 | 史诗 | 腰射子弹扩散减小(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
沙漠之鹰 | 手枪 | 荣耀 | 史诗 | 切枪速度加快(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
沙漠之鹰 | 手枪 | 趣味时光 | 稀有 | 载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
沙漠之鹰 | 手枪 | 大马士革钢 | 稀有 | 载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
沙漠之鹰 | 手枪 | 沙漠之鹰（基础款） | 普通 | 无属性加成
短管霰弹枪 | 手枪 | 荣耀 | 史诗 | 切枪速度加快(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
短管霰弹枪 | 手枪 | 原子风暴 | 稀有 | 开镜速率提升(蓝)、换弹速率提升(蓝)
短管霰弹枪 | 手枪 | 小海豚 | 稀有 | 持枪移速提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
短管霰弹枪 | 手枪 | 短管霰弹枪（基础款） | 普通 | 无属性加成
clock19 | 手枪 | 捣蛋家 | 传说 | 提高武器移速(橙)、武器射程提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
clock19 | 手枪 | 萌动出击 | 传说 | 武器射程 · 射速提升(橙)、腰射子弹扩散减小(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
clock19 | 手枪 | 怪兽派对 | 史诗 | 腰射子弹扩散减小(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
clock19 | 手枪 | 荣耀 | 史诗 | 切枪速度加快(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
clock19 | 手枪 | 壳中小精灵 | 稀有 | 载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
clock19 | 手枪 | 孟婆·忘川 | 稀有 | 载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
clock19 | 手枪 | 炽热节拍 | 史诗 | 持枪移速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
clock19 | 手枪 | clock19（基础款） | 普通 | 无属性加成
左轮 | 手枪 | 夏日作战 | 传说 | 提升武器射程(橙)、射速提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
左轮 | 手枪 | 原恒星 | 传说 | 减小腰射子弹扩散(橙)、射速提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
左轮 | 手枪 | 强强左轮 | 传说 | 提高持枪移速(橙)、射速提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
左轮 | 手枪 | 荣耀 | 史诗 | 切枪速度加快(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
左轮 | 手枪 | 圣堂礼拜 | 稀有 | 开镜速率提升(蓝)、换弹速率提升(蓝)
左轮 | 手枪 | 萝卜枪 | 稀有 | 开镜速率提升(蓝)、换弹速率提升(蓝)
左轮 | 手枪 | 太阳神 | 稀有 | 开镜速率提升(蓝)、换弹速率提升(蓝)
左轮 | 手枪 | 左轮（基础款） | 普通 | 无属性加成
双持柯尔特 | 手枪 | 绝命天启 | 神兵 | 天启制裁：大幅提高射程与开镜时的精准度(红)、提高武器射速(橙)、可使用特殊近战武器(橙)、受击枪口上抬降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持柯尔特 | 手枪 | 干将莫邪 | 传说 | 提高持枪移速(橙)、腰射子弹扩散减小(紫)、武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持柯尔特 | 手枪 | 恋人 | 传说 | 降低武器后坐力(橙)、射速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持柯尔特 | 手枪 | 绮梦幻旅 | 传说 | 提高武器射速(橙)、持枪移速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持柯尔特 | 手枪 | 假日狂欢 | 传说 | 加强穿透效果(橙)、受击枪口上抬暂停(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持柯尔特 | 手枪 | 冰原射手 | 史诗 | 武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持柯尔特 | 手枪 | 双持柯尔特（基础款） | 普通 | 无属性加成
双持霰弹枪 | 手枪 | 贯日 | 神兵 | 长虹贯日：淘汰玩家后回复2发当前弹匣弹药(红)、野人克星：对野人伤害提升(红)、提高持枪移速(橙)、具有专属检视动作(橙)、腰射子弹扩散减小(紫)、射速提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持霰弹枪 | 手枪 | 占星术 | 传说 | 提升武器射程(橙)、射速提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持霰弹枪 | 手枪 | 毒刺 | 传说 | 野人模式伤害提升(橙)、武器射程提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持霰弹枪 | 手枪 | 萌龙特工队 | 传说 | 提高持枪移速(橙)、射速提高(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持霰弹枪 | 手枪 | 纸质雕刻 | 史诗 | 腰射子弹扩散减小(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持霰弹枪 | 手枪 | 出租车 | 史诗 | 持枪移速提高(紫)、受击枪口上抬降低(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持霰弹枪 | 手枪 | 双持霰弹枪（基础款） | 普通 | 无属性加成
毛瑟 | 手枪 | 荣誉英雄 | 传说 | 提升武器射程(橙)、持枪移速提高(紫)、切枪速度加快(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
毛瑟 | 手枪 | 守护者 | 传说 | 提升武器射程(橙)、受击枪口上抬降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
毛瑟 | 手枪 | 兔兔茶话会 | 史诗 | 武器射程提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
毛瑟 | 手枪 | （基础款待补） | 普通 | 无属性加成
双持沙鹰 | 手枪 | 此处熊出没 | 传说 | 提高持枪移速(橙)、武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持沙鹰 | 手枪 | 凛冬皇冠 | 传说 | 减少腰射子弹扩散(橙)、射速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持沙鹰 | 手枪 | 小白龙 | 传说 | 历经八十一难(橙)、显著降低受击上抬(橙)、武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持沙鹰 | 手枪 | 暖冬恋曲 | 史诗 | 腰射子弹扩散减小(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持沙鹰 | 手枪 | 双持沙鹰（基础款） | 普通 | 无属性加成
双持USP | 手枪 | 劲爆连载 | 传说 | 减少腰射子弹散射(橙)、受击枪口上抬降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持USP | 手枪 | 宿命轮回 | 传说 | 提升武器射程(橙)、射速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持USP | 手枪 | 双鱼座 | 传说 | 黄道十二宫星宫赐福小幅提升枪械射程(橙)、稳定性与腰射精度(橙)、切枪速度加快(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
